tigal,tech,Tech pt,Description en,Descrição pt,Proximus,Photo URL,photo,review,Money,C-EdTech,C-Google,C-2015,Telecom
,Robofarmer,Robôs Agricultores,"Thanks to a combination of cheap sensors and computer vision, machines are capable of more freely navigating and performing complex tasks including plowing, plant and soil surveillance, and even the harvesting of fruit and vegetable.","Graças a combinação de sensores baratos e visão por computador, máquinas têm condições de navegar de forma mais livre e executar tarefas complexas, incluindo aração, fiscalização do solo e das plantas e até mesmo colheita de frutas e vegetais.",,https://www.dropbox.com/s/w9dxjsppiupxbcs/Robots%20at%20Work%20and%20Play%20-%20In%20Focus%20-%20The%20Atlantic%20Image.7.jpeg?dl=1,ok,,,,,,
,Robonauts,,"Robonauts, human-like robots designed by GM and NASA, had helped before with basic duties at the International Space Station (ISS). Advanced models of these robots (R2) are able to execute more complex activities, including climbing and mobile tasks. Future plans consider even more advanced support, specially in challenging missions like explorations of other planets.",,,https://trello-attachments.s3.amazonaws.com/54286d82e2d8eb79a9b7ab74/632x420/bdaced736d8dfbfdc7f9f3ad2ad90487/7-robonaut.jpg,,,,,,,
,Robot artists,Robôs Artistas,Robots that express themselves in a variety of ways.,Robôs que se expressam artisticamente de formas variadas. Atualmente alguns trabalhos de composição musical estão em estágio avançado de desenvolvimento. ,,https://www.dropbox.com/s/walb5f96w8mwpjd/Artist%20robots.jpg?dl=1,ok,ok,,,,,
,Robot assistants,Robôs Pesquisadores,"A robot that collects data and finds explanations in the patterns it detects, then performs experiments to confirm or repudiate those patterns. It carries out this entire process without any input from a human being.","Robôs que coletam dados e encontram explicações nos padrões detectados, em seguida, realizam experimentos para confirmar ou rejeitar esses padrões.",,https://www.dropbox.com/s/i1kwgmbk8ngv5ka/Service%20Robots.jpg?dl=1,ok,ok,,ok,1,,
,Robotaxi,Robotaxi,"Automated vehicles that provide door-to-door service while enabling significant reductions in transportation cost, relieving congestion, and reducing the need for parking.","Veículos autonomos que fazem serviço porta-a-porta permitindo uma redução significativa no custo do transporte, melhorando o congestionamento e reduzindo a necessidade de estacionamentos.",,https://www.dropbox.com/s/se7o9eck9tixflr/Robot_Taxi.png?dl=1,ok,,,,,,
,Robotherapists,,"Iteration computer simulated psychologist, a software designed to identify signals of depression and other mental health problems through an assortment of real-time sensors. ",Um psicólogo computalizado que funciona mediante um software projetado para identificar sinais de depressão e outros problemas de saúde mental através de uma variedade de sensores em tempo real.,,https://www.dropbox.com/s/ykmawt9qsbwraxp/Robotherapists.jpg?dl=1,ok,ok,,ok,1,,
,Robotic farm swarms,Enxames Robóticos Agrícolas,"The hypothetical combination of dozens or hundreds of agricultural robots with thousands of microscopic sensors, which together would monitor, predict, cultivate and extract crops from the land with practically no human intervention. Small-scale implementations are already on the horizon.","A combinação de centenas de robôs agrícolas com milhares de sensores microscópicos que, em conjunto, podem monitorar, prever, cultivar e realizar colheitas com praticamente nenhuma intervenção humana. Implementações de baixa escala já estão acontecendo.",,,ok,ok,,,,,
,Robotic Generalised Grasping,Pegada Robótica,"While humans can see something and pick it up without thinking, robots find it incredibly difficult to deal with the variability in the real world. However, this new machine learning method makes sense of the new objects by recognising the parts they're made of.","Enquanto humanos conseguem ver e pegar coisas sem pensar muito, robôs acham incrivemente difícil lidar com a variabilidade do mundo real. Entretanto, esse novo método de ensino encontra sentido em novos objetos ao reconhecer as partes de que eles são feitos. ",,https://www.dropbox.com/s/wfqmxv1wkflalgx/Robotic%20Generalised%20Grasping.jpg?dl=1,ok,ok,,,1,,
,Robotic surgery,Cirurgia Robótica,Developed to overcome both the limitations of minimally invasive surgery or to enhance the capabilities of surgeons performing open surgery.,Desenvolvido para superar as limitações da cirurgia minimamente invasiva e para melhorar as capacidades de cirurgiões que realizam a cirurgia aberta.,,https://www.dropbox.com/s/otlsxt60kyo9lzs/Robotic%20surgery.jpg?dl=1,ok,ok,,,,,
,Schools as think-tanks,,"Schools that address local and global challenges such as clean water, broadband access, human trafficking, and religious intolerance.",,,,,,,ok,,,
,Seasteading,Seasteading,Permanent dwellings at sea outside the territories claimed by the governments of any standing nation.,Moradias permanentes no oceano fora de territórios reivindicados por governos de qualquer nação.,,https://www.dropbox.com/s/p709fr3pqzuqivb/Seasteading.jpg?dl=1,ok,ok,,,,,
,Second-generation biofuels,Biocombustível De Segunda Geração,"New biofuel technologies, such as cellulosic ethanol and biodiesel from microalgae, promise to produce conventional fuel-compatible energy at low or zero greenhouse gas emissions.","Novas tecnologias de biocombustíveis, como o etanol celulósico e biodiesel a partir de microalgas, susceptíveis de produzir energia com emissões baixas ou nulas de gases de efeito estufa.",,,,ok,,,,,
,Self-governance platforms,Plataformas De Auto-Governo,"Consists of the digital interactions between a government and citizens, businesses, employees and governments. This digital interaction is made of governance, information and communication technology, business process reengineering, and e-citizen at all levels of government.","Coniste na interação digital entre governo e cidadãos, empresas, funcionários e políticos.Essa interação digital consiste em governança, informação, tecnologias de comunicação e e-cidadania em todos os níveis de governo.",,https://www.dropbox.com/s/oxa7xi27zqn9hw9/Self-governance%20platforms.jpg?dl=1,ok,ok,,ok,1,,
,Self-healing materials,Materiais Com Automanutenção,Have the structurally incorporated ability to repair damage caused by mechanical usage over time.,Materiais com habilidades estruturais que reparam danos causados pelo uso.,,https://www.dropbox.com/s/uerr1feyi21igyr/Self-Healing%20Materials.jpg?dl=1,ok,ok,,,1,,
,Self-riding bicycles,,"Individuals could benefit from many of the same perks as they would with self-driving cars, such as sending bikes to pick their kids up from school and transporting persons who are blind or disabled.","As pessoas poderiam se beneficiar de muitas das mesmas vantagens dos carros auto-dirigíveis, como por exemplo, o envio de bicicletas para pegar seus filhos na escola e o transporte de pessoas cegas ou com deficiências.",,https://www.dropbox.com/s/52hf7ckq0m02gw7/Self-riding%20bicycles.jpg?dl=1,ok,ok,,,1,,
,Semantic search,Busca Semântica,Seeks to improve search accuracy by understanding searcher intent and the contextual meaning of terms to generate more relevant results.,Melhora a precisão da pesquisa ao avaliar a intenção do pesquisador e o contexto para gerar resultados mais relevantes.,,,ok,ok,,ok,,,
,Service robots,Robôs De Serviço,"Robots doing human-scal tasks, having sense and manipulate in complex ways.","Robôs que realizam tarefas humanas, com a habilidade de sentir e manipular objetos de maneira de maneira complexa, com pernas e mãos que se adaptam a terrenos irregulares ou instáveis.",,https://www.dropbox.com/s/r0rcmopmxp9sess/ROB%C3%94S%20DE%20SERVI%C3%87O.jpg?dl=1,ok,ok,,ok,,,
,SERVICE-DRIVEN AUTOMATION ,,"Technology has put automation and control into the consumers’ hands, enabling them to program, monitor, verify and manage their financial profile to a precise degree.",,,http://www.emprata.com/wp-content/uploads/2013/06/stockphotos-for-free-digital-stream.jpg,,,ok,,,,
,Shared Content Produced Socially and Globally,Conteúdo Compartilhado Produzido Socialmente E Internacionalmente,"Applications on which content can be produced simultaneously by different people across the world, with live editing, makes it easier to share and evolve directly from different thinking minds.",,,,,,,ok,,,
,Sharing Economy,,"An economic model geared toward developing access (not ownership), where consumers lend, swap, barter, share and gift products.",,ok,http://a.fastcompany.net/multisite_files/fastcompany/poster/2014/03/3027355-poster-p-1-pixel-dimed-on-not-getting-by-in-the-sharing-economy.jpg,,,ok,,,,ok
,SIEM,,"Security information and event management (SIEM) is a term for software products and services combining security information management(SIM) and security event management (SEM). SIEM technology provides real-time analysis of security alerts generated by network hardware and applications. SIEM is sold as software, appliances or managed services, and are also used to log security data and generate reports for compliance purposes",,ok,,,,,,,,ok
,Simulation games,,"Active Learning made possible through modern instructional technologies, where the participant is behaviorally and cognitively active. They complement theoretical education by providing a dynamic, reactive and risk free learning environment.",,,,,,,ok,,,
,Single Pane of Glass View,,"A single pane of glass is a phrase used by information technology (IT) marketers to describe a management console that integrates information from multiple components into a unified display. This will allow students to collaborate between different applications, enhancing the management on Universities, for example.",,,,,,,,,,
,SINGLE SIGN-ON ,,"Single sign-on allows a user to log in once and gain access to multiple software systems at once. This reduces the fatigue, time spent and support needed from managing different username and password combinations, and could turn into an universal protocol that relinquishes passwords or pins.",,ok,http://e.fastcompany.net/multisite_files/fastcompany/imagecache/1280/poster/2013/10/3019641-poster-1280-sharing.jpg,,,ok,,,,ok
,Smart Contact Lens,Lentes De Contato Inteligentes,"Can already be used for health tracking, and soon could enable drug delivery, night vision, and augmented reality.","Já está sendo utilizado para acompanhar tratamentos e, em breve, poderá permitir a entrega de remédios, visão noturna e realidade aumentada.",,https://www.dropbox.com/s/gvg108b5f0jjecr/Smart%20Contact%20Lens.jpg?dl=1,ok,ok,,,,,
,Smart drugs,Drogas Para Inteligência,"Drugs, supplements, nutraceuticals and functional foods that improve mental functions such as cognition, memory, intelligence, motivation, attention, and concentration.","Drogas, suplementos, nutracêuticos e alimentos funcionais que melhoram funções mentais como a cognição, memória, inteligência, motivação, atenção e concentração.",,https://www.dropbox.com/s/6jxtybwwt72hw14/Smart%20Drugs.jpg?dl=1,ok,ok,,ok,,,
,Smart dust sensors,,"A system of many tiny microelectromechanical such as sensors and robots, that can detect, for example, light, temperature, vibration, magnetism, or chemicals.","Um sistema de pequenos robôs e sensores microeletromecânicos que podem detectar, por exemplo, luz , temperatura, vibrações , magnetismo ou produtos químicos .",,,,ok,,,,,
,Smart Dust,,"A whole functioning computer with less than a cubic millimeter in size. This tiny computer features processing, data storage, and wireless communication. Possible applications include monitoring internal body metrics to alert health problems.",,,https://trello-attachments.s3.amazonaws.com/5446c52895e566335d94cdcd/640x353/7c9cde84dfd8e8c9c96984dbca4d7ba6/micromote-640x353.jpg,,,,,,,
,Smart exercise bikes,Bicicletas inteligentes,"On-board sensors measure your calories burned, distance traveled, speed, best times, and much more to track exercise and suggest smarter routes.","Sensores de bordo medem as calorias queimadas, distância percorrida, velocidade, melhores tempos, e muito mais para acompanhar o exercício e sugerir rotas mais inteligentes.",,https://www.dropbox.com/s/3bdk1ig2qn5cbq1/Next-gen%20exercise%20bikes.jpg?dl=1,ok,,,,,,
,Smart Home Hubs,,"Inspired by the widely adopted speech recognition systems and personal assistants on smartphones, Smart Home Hubs are the result of a new iteration of this kind of technology. Powered with Wi-Fi connectivity and environment sensors (e.i. temperature, humidity and light) these devices are able to recognize voice commands, using searching engines to elaborate the possible answers. Connectivity allows to integrate with other devices, for instance a Nest thermostat, in order to respond to commands like “turn up the heat”.",,ok,https://trello-attachments.s3.amazonaws.com/544520350b31f636f4d0d573/299x299/7f936060bb7b68abb5a82e31d1df072b/ubix299.jpg,,,,,,,ok
,Smart jewelry,,Sensors embedded in jewlery.,,,https://www.dropbox.com/s/vhi1kcwvygfhjx0/Smart%20jewelry.jpg?dl=1,ok,,,,1,,
,Smart parking payment,,Drivers can easily access the necessary payment system in a multitude of ways with their phone.,"Motoristas podem acessar facilmente o sistema de pagamento necessário, de diversas formas, mediante seus telefones.",,https://www.dropbox.com/s/tsqidw0hqaki3ux/Smart%20parking%20payment.jpg?dl=1,ok,,,,,,
,Smart renewable power,Energia Eólica E Solar Inteligente,ok,Big data e inteligência artificial estão produzindo previsões ultra-precisas que tornarão viável a geração de um maior volume de energia renovável de forma mais eficiente.,,,,ok,,,,,
,Smart urban lighting,Iluminação Urbana Inteligente,"Wireless sensor that’s compatible with any type of streetlight, and dims or brightens them in response to the presence of pedestrians, bicycles and cars. ","Sensores sem fio que são compatíveis com qualquer tipo de iluminação de rua. A iluminação é ligada ou desligada em resposta à presença de pedestres, bicicletas e carros.",,https://www.dropbox.com/s/2bvqi75djtu3vfr/Smart%20urban%20lighting.jpg?dl=1,ok,ok,,,,,
,Smart urban transport grid,Sistema De Transporte Inteligente,"Series of distinctly more convenient alternatives to car combined with apps that would allow individuals to coordinate and combine the use of various public transportation options based on weather conditions, price, and destination.","Uma série de diferentes alternativas ao carro combinadas com apps que permitem que as pessoas possam coordenar e combinar o uso de vários tipos de transporte público baseadas em condições metereológicas, preço e destino.",,https://www.dropbox.com/s/itpy2y0uueaaasm/Smart%20urban%20transport%20grid.jpg?dl=1,ok,,,,,,
,Social bicycles,Bicicletas sociais,"You can leave the bike anywhere within a designated area. The bike - fitted with GPS, a cell link, and a computer - can than be taken by another person liked to the network.","Você pode deixar a bicicleta em qualquer lugar dentro de uma área específica. A bicicleta, equipada com GPS, um conexão celular e um computador, que pode ser tomado por outra pessoa dentro da rede.",,http://farm5.static.flickr.com/4015/4537095103_7677e8d11d.jpg,ok,ok,,,,,
,Social knowledge platforms,Plataformas De Conhecimento Social,"People can share links, ask and answer questions, write notes, share opinions, submit ideas and vote for the best answers, all in real time. All content is archived into a searchable database ensuring that valuable knowledge is accessible by any people on the network, at any time.","Pessoas podem compartilhar links, fazer e responder perguntas, anotações, compartilhar opiniões, apresentar ideias e votar nas as melhores respostas, tudo em tempo real. Todo o conteúdo é arquivado em um banco de dados para garantir que o conhecimento seja acessível por qualquer pessoa da rede, a qualquer momento.",,,ok,ok,,ok,,,
,Social Workflow,Fluxos De Trabalho Sociais,"Social communication tools are being baked into business processes to provide more fluid workflows and enable data gathering to make better business decisions. Using the popular form factor of social networks and user-friendly graphic interfaces, these platforms help remove obstacles around effective use.","Plataformas que usam interfaces de comunicação sociais para dinamizar o diálogo e os processos internos, fornecendo fluxos de trabalho mais fluídos e permitindo coleta de dados para melhores tomadas de decisão. ",ok,http://www.pretzellogic.org/wp-content/upload/social-network.jpg,ok,ok,,ok,,,ok
,Soft Robotics,Robótica Mole,"Researchers are developing a robotic fabric that moves and contracts and is embedded with sensors, an approach that could bring ""active clothing"" and a new class of ""soft"" robots.",,,https://trello-attachments.s3.amazonaws.com/5446c1153ed6666c8f4e1cc9/1043x695/7f6c5c999635bbfc94a28d41279b1288/kramer-fabric.jpg,,,,,,,
,Software agents,Agentes Automatizados,"Autonomous entities which observe and act upon an environment and directs its activity towards achieving goals. They can pursue tasks such as data mining, monitoring-and-surveillance, shopping, or personal requests for its owner.","Entidades autônomas que observam e agem sobre um ambiente e orienta a sua atividade para alcançar certos objetivos. Podem exercer tarefas como captação de dados, monitoramento, vigilância e compras para seu proprietário.",,,,ok,,,,,
,"Software as a service
",,A software licensing and delivery model in which software is licensed on a subscription basis and is centrally hosted.,,ok,,,,,,,,ok
,Software-defined networking,,An approach to computer networking that allows network administrators to manage network services through abstraction of lower-level functionality. This is done by decoupling the system that makes decisions about where traffic is sent from the underlying systems that forward traffic to the selected destination.,,,,,,,,,,ok
,Solar panel positioning robots,Robôs Para Posicionamento De Painéis Solares,Small-scale robots able to re-position solar panels depending on weather conditions.,Robôs de pequena escala capazes de re-posicionar os painéis solares dependendo das condições meteorológicas.,,,,ok,,,,,
,Solar thermal energy,Energia Solar Térmica,Generate power at night.,O armazenamento do calor permite que o sistema consiga produzir energia elétrica durante a noite e em dias nublados.,,,,ok,,,,,
,Space-based Solar Power, Energía Solar Espacial ,"Collects solar power in space, which is approximately 144% of the maximum attainable on Earth's surface.","Coleta de energia solar no espaço. O espaço é permanentemente atravessado pela luz e energia do Sol. Um satélite de energia solar em órbita seria iluminado 99% do tempo, aumentando em até 144% a capacidade máxima possível na superficie da terra.",,http://spectrum.ieee.org/img/05SolarSpaceOpener-1397829304740.jpg,,ok,,,,,
,Speech recognition,Reconhecimento De Fala,Converts spoken words to computer-interpretable text. It can recognize speech without being targeted at single speaker—such as a call system that can recognize arbitrary voices.,Converte palavras faladas em texto que podem ser compreendidas por um computador.,,,ok,ok,,ok,,,
,precision cooker devices,,,,ok,,,,,,,,ok
,Smart Pill Bottles,,"Collect and send all adherence data in real-time. The system automatically analyzes this information and populates the data on our secure dashboard. If doses are missed, patients can receive customizable alerts and interventions - using automated phone calls, text messages, and more.",,,,,,,,,,
,video intelligence platform,,"Makes it easy to store, manage, search and analyze enterprise video. With sophisticated analytics, and the ability to correlate video from multiple camera types with meta data from an array of enterprise sources, it extracts rich, targeted, and actionable “visual intelligence” from existing video. ",,,,,,,,,,
,Small Cell network,,"Platforms that allow mobile operators to deliver cellular and Wi-Fi coverage, capacity and smart applications to enterprises of any size. They provide flexibility, increased QoS capabilities at an attractive cost and are also more environmentally friendly as it will reduce the number of cell towers.",,ok,,,,,,,,ok
,Online audio distribution,,"Enables sound creators to upload, record, promote and share their originally-created sounds on the internet. ",,,,,,,,,,
,Speech to Speech Translation,Tradução Simultânea,Real time translation.,Softwares capazes de traduzir sons em tempo real e gerar áudio no idioma escolhido.,,,ok,ok,,ok,,,
,Spray-on fabric,Tecidos Em Spray,"Consists of short fibers, polymers and a solvent that delivers the fabric in liquid form. The solvent evaporates in contact with a surface and, when clothes are soaked for a certain period, they go back to the form of liquid and can be reused.","Consiste em pequenas fibras, polímeros e um solvente que entrega o tecido em forma líquida. O solvente evapora em contato com a superfície e, quando as roupas são enxarcadas por um período voltam a forma original para serem reutilizadas.",,,ok,ok,,,,,
,message-oriented middleware appliances,,Rack-mountable network devices that implement messaging functionality in purpose-built hardware.,,,,,,,,,,
,digital identity stamps,,Small pieces of plastic with secret digital identities that allows mobile applications to interact with real-world objects.,,ok,,,,,,,,ok
,Stretchable electronics,Eletrônicos Elásticos,Is expected to enable a range of new applications such as cyber skin for robotic devices and flesh-like devices with embedded electronic nervous systems.,"Possibilitam várias criações, como pele cibernética para robôs e dispositivos com sistema nervoso eletrônico embutido.",,,ok,ok,,,,,
,Suborbital spaceflight,Voo Espacial Sub-Orbital,"Spaceflight in which the spacecraft reaches space, but its trajectory intersects the atmosphere or surface of the gravitating body from which it was launched, so that it does not complete one orbital revolution.","Voo espacial em que a nave atinge o espaço, mas a sua trajectória cruza a atmosfera ou superfície do corpo gravitacional do qual foi lançado, de modo que não efectue uma revolução orbital completa",,,ok,ok,,,,,
,Superomniphobic materials,Materiais Superomnifóbicos,"Inspired by water bugs that ﬂoat on liquid surfaces, these materials repel both oily and watery ﬂuids.","Materiais que repelem fluidos aquosos e oleosos. Utilizados para criação de, por exemplo, roupas que não se sujam com facilidade e carros que não precisam ser lavados.",,https://www.asme.org/getmedia/0dd36c54-aa72-4ffa-8c35-b2c803deef6c/Nano-Advancement-Repels-Liquids_hero.jpg.aspx?width=460,ok,ok,,ok,,,
,Teledildonics,Teledildonics,Remote-controlled & robotic sex toys. Can be controlled by AI or telepresent partners.,Brinquedos sexuais robóticos de controle remoto que podem ser controlados por agentes de inteligência artificial ou parceiros telepresentes.,,http://cdn.thegadgetflow.com/wp-content/uploads/2014/02/Kiiroo-inpost1.jpg,ok,ok,,,,,
,Telepresence,Telepresença,"Allows a person to feel, give the appearance or to have an effect of being present at a place other than their true location.",Permite que uma pessoa se sinta ou tenha o efeito de estar presente em outro lugar fora da sua localização real.,ok,https://www.dropbox.com/s/ytk39z6etmql1bh/Telepresence.jpg?dl=1,ok,ok,,ok,,,ok
,Telepresence robots,Robôs De Telepresença,"A remote-controlled, wheeled device with a display to enable video chat and videoconferencing, among other purposes.",Sistemas móveis de telepresença incorporam equipamentos de videoconferência a robôs que podem ser controlados remotamente.,ok,https://www.dropbox.com/s/otxjdq14pyegpch/Telepresence%20robots.jpg?dl=1,ok,ok,,ok,,,ok
,Temporary Social Media,Mídia social temporária,Messages that quickly self-destruct could enhance the privacy of online communication and make people feel freer to be spontaneous.,Mensagens que rapidamente se autodestruem poderiam aumentar a privacidade on-line e permitir uma comunicação mais livre e espontânea.,ok,,,,,,,,ok
,Textbooks 2.0,Materiais didáticos 2.0,"World-class instructional materials, rich multimedia that integrates games and a powerful analytics engine that may transform the way teachers teach and students learn.",Materiais didáticos com rica multimídia que integra jogos e um mecanismos de análise poderosa que podem transformar a forma como professores ensinam e os alunos aprendem.,,http://www.amplify.com/assets/viewpoints/close_reading_-_girl_in_orange_1464_x_800.jpeg,,,,ok,,,
,Thermal energy storage,Armazenamento De Energia Térmica,"Thermal energy is often accumulated from active solar collector or more often combined heat and power plants, and transferred to insulated repositories for use later in various applications, such as space heating, domestic or process water heating.","A energia térmica de coletores ou plantas solares é muitas vezes acumulada e transferida para repositórios isolados para posterior utilização em diversas aplicações, tais como o aquecimento de espaços, aquecimento de água, entre outras.",,,ok,ok,,,,,
,Thermo-bimetals,Bimetais Térmicos,"Thermally activated bimetals would allow for panes of glass capable of becoming shades when exposed to the sun, self-regulating energy consumption throughout the day.",Bimetais termicamente activados podem agregar capacidades de adaptação em função das variações em temperatura. Este tipo de “materiais inteligentes” podem ser empregados em sistemas autogestores para edifícios.,,https://trello-attachments.s3.amazonaws.com/545bc36f37ba5ba8c20ebead/600x450/637dd90339640d4f599341c1571ae4e9/thermobimetals.jpg,,ok,,,,,
,Third-generation biofuels,Biocombustíveis De Terceira Geração,"Involve genetic modification of organisms to produce new fuels by unconventional means. E.g. include direct production of hydrogen from highly efficient algae, and production of energy-dense furans.",Novos combustíveis produzidos a partir de modificações genéticas – exemplo: hidrogênio produzido a partir de algas altamente eficientes.,,,,ok,,,,,
,Thorium reactor,Reator De Tório,"Thorium can be used as fuel in a nuclear reactor, allowing it to be used to produce nuclear fuel in a breeder reactor. Some beneﬁts are that thorium produces 10 to 10,000 times less long-lived radioactive waste and comes out of the ground as a 100% pure, usable isotope, which does not require enrichment.",O elemento Tório pode ser usado como combustível dentro de um reactor nuclear. Alguns benefícios são que o tório produz de 10 a 10 mil vezes menos resíduos radioactivos de longa vida e é mais abundante que o urânio (até 4x).,,http://fc01.deviantart.net/images/i/2002/38/6/5/Reactor_Core.jpg,,ok,,,,,
,Ticketless travel,Viagens Sem Bilhetes,Universal authorization to travel with payment processed automatically when the journey is taken.,Autorização universal para viajar com pagamento processado automaticamente quando a viagem é feita.,,,ok,ok,,,1,,
,Tidal turbines,Turbina Marítimas,"A form of hydropower that converts tidal energy into electricity. Currently used in small scale, with the potential for great expansion.","É uma forma de energia hidrelétrica que converte a força das marés em energia. Actualmente utilizada em pequena escala tem um grande potencial de expansão, reduzindo custos e impactos ambientais em comparação à energia eólica. ",,,,ok,,,,,
,Tooth Sensor,Sensores Nos Dentes,"The sensor consists of a tiny circuit that fits inside a tooth cavity and can be rigged into dentures and dental braces. The circuit is able to recognize the jaw motions of drinking, chewing, coughing, speaking, and smoking, and the results get sent directly to your doctor’s smartphone.","O sensor consiste em um pequeno circuito que se encaixa dentro de uma cavidade do dente e pode ser manipulado em próteses e aparelhos dentários. O circuito é capaz de reconhecer os movimentos de beber, mastigação, tossir, falar e e fumar, e os resultados são enviados diretamente para o smartphone do seu médico.",,http://spectrum.ieee.org/img/072513TeethJohnLambGettyImages200388863-001-1374782678550.jpg,ok,,,,,,
,Transcranial magnetic stimulation,Estimulação Magnética Transcraniana,"TMS is a noninvasive method to cause depolarization or hyperpolarization in the neurons of the brain using electromagnetic induction to induce weak electric currents using a rapidly changing magnetic field. This can cause activity in specific or general parts of the brain with minimal discomfort, allowing the functioning and interconnections of the brain to be studied.","A Estimulação Magnética Transcraniana (EMT) é um procedimento médico que utiliza estímulos elétricos e magnéticos excitatórios ou inibitórios para reestabelecer o funcionamento cerebral. A grande vantagem em relação a outras técnicas de estimulação cerebral é o fato de ser uma terapia focal, não invasiva e praticamente indolor.",,,,ok,,,,,
,Translucent screens,Telas Translúcidas,Screens which let light through to be used on windows and windshields.,"Telas que permitem a transpassagem da luz; assim, janelas e para-brisas podem ser usados como interfaces de computador.",,http://www.autofocus.ca/media/mxvug48ihuqjfr/atom_featured/5_HUD.jpeg?t=f1ed9634b0528c61a09deed34ab42b6b,ok,ok,,,,,
,Unified Identity Management,,"Lets you centrally manage identities across data center, cloud and mobile to optimize cost, agility and security. ",,ok,,,,,,,,ok
,Unmanned aerial vehicles,Veículo Aéreo Não Tripulado,"A machine which functions either by the remote control of a navigator or pilot, or autonomously, that is, as a self-directing entity.","Aeronave que não necessita de pilotos embarcados para ser guiada. Esses aviões são controlados a distância por meios eletrônicos e computacionais, sob a supervisão e governo humanos, ou sem a sua intervenção, por meio de Controladores Lógicos Programáveis",,https://www.dropbox.com/s/znoikmbetjhedpz/Unmanned%20Aerial%20Vehicle.jpg?dl=1,ok,ok,,,,,
,Utility fog,,A cloud of networked microscopic robots that change its shape and properties to form macroscopic objects and tools in accordance with software commands.,Uma rede de robôs microscópicos que mudam sua forma e propriedades para formar objetos e ferramentas de acordo com comandos de software .,,http://imgur.com/UbqebqG.png,,,,,,,
,V2V Communication,Comunicação V2V,"Lets cars send information back and forth between one another and with enabled infrastructure like, in this case, traffic lights. Knowing when a light was going to change would allow vehicles to give a little heads-up to their drivers. We’d then know to brake gradually or, if there was time, a display might show what speed would be necessary to make it through.","A comunicação V2V (vehicle-to-vehicle) utiliza rádio-frequência para estabelecer a conectividade entre os carros, com o intuito de previnir acidentes. A tecnologia pode permitir outro tipo de comunicação, por exemplo, com sinais de trânsito, gerando alertas para os motoristas.",,https://www.dropbox.com/s/21j08wujj3vx6kw/V2V%20Communication.jpg?dl=1,ok,ok,,,,,ok
,Variable rate swath control,,"Building on existing geolocation technologies, future swath control could save on seed, minerals, fertilizer and herbicides by reducing overlapping inputs. By pre-computing the shape of the field where the inputs are to be used, and by understanding the relative productivity of different areas of the field, tractors or agbots can procedurally apply inputs at variable rates throughout the field.",,,,ok,,,,,,
,Vertical farming,Agricultura Vertical,Cultivates plant or animal life within dedicated or mixed-use skyscrapers in urban settings.,"Cultivo de vegetais e criação de animais em arranha-céus multiúso dentro de áreas urbanas. Isso poderia viabilizar a produção de culturas durante todo o ano, proteção contra o tempo, suporte à autonomia urbana, e reduzir custos em transporte.",,https://www.dropbox.com/s/k319ccc3u84b46p/Vertical%20Farming.jpg?dl=1,ok,ok,,,,,
,Virtual and Remote Labs,Laboratórios Virtuais E Remotos,"Offer flexibility, as students can run experiments as many times as they like, both in and out of school.","Oferecem flexibilidade, já que os estudantes podem fazer quantos experimentos desejarem, tanto dentro quanto fora da escola.",,,,,,ok,,,
,Virtual Physiological Human,Humano Virtual,A framework enabling collaborative investigation of the human body that provides the possibility to examine the human body with all its physiological functions without experimenting with people.,"Permite uma investigação colaborativa do corpo humano que proporciona examinar o corpo humano com todas as suas funções fisiológicas, sem experiências com as pessoas.",,https://www.dropbox.com/s/tomanrsgdtckcpm/Virtual%20Physiological%20Human.png?dl=1,ok,,,,,,
,Virtual reality headset,Headset De Realidade Virtual,High-quality virtual-reality hardware that is cheap enough for the consumer market. Visually immersive interfaces will lead to new forms of entertainment and communications. Combined with accessories and technologies such as eye-tracking and haptic gloves are creating an even more immersive experience.,"Hardware de realidade virtual de alta qualidade e suficientemente barato para o mercado consumidor. Essas interfaces visuais imersivas levarão a formas totalmente novas de entretenimento
e comunicação.",ok,https://www.dropbox.com/s/2tfk66rp7xyvgqg/Virtual%20Reality%20Headset.png?dl=1,ok,,,ok,,,ok
,Cloud Security Software,,"Helps to discover the services people are using, analyze risk, and enforce security policies.",,,,,,,,,,
,Virtual shopping walls,Vitrines Virtuais,The wall is wrapped with ads stocked with popular products. The customers can scan and purchase the selected items by pointing their mobile phones at a bar code and add them to their virtual baskets and the goods are delivered to their homes.,Vitrines com anúncios de produtos populares. Os consumidores podem escaniar e pagar os itens selecionados ao apontar seus celulares em direção a um código de barras e adicioná-los à sua sacola virtual enquanto os produtos são enviados à sua casa. ,,http://i.huffpost.com/gen/1375988/thumbs/o-INTERNET-OF-THINGS-facebook.jpg,ok,ok,ok,,,,
,Virtual study rooms,Salas De Estudo Virtuais,Communities around online classes where students can meet fellow classmates and work together.,"Comunidades ao redor de aulas on-line, onde os alunos podem encontrar colegas de classe e trabalhar juntos.",ok,https://www.dropbox.com/s/3cnzv1coc71g3st/Virtual%20Study%20Rooms.jpg?dl=1,ok,ok,,ok,,,ok
